Region,DATE,w_PCPI
South,2000-09-01,28579.604559103092
South,2000-10-01,28671.159014009147
South,2000-11-01,28762.70843807967
South,2000-12-01,28854.25284724692
South,2001-01-01,28945.79225737595
South,2001-02-01,28976.58551229498
South,2001-03-01,29007.364027266733
South,2001-04-01,29038.127849534085
South,2001-05-01,29068.877026138234
South,2001-06-01,29099.611603919766
South,2001-07-01,29130.331629519744
South,2001-08-01,29161.037149380772
South,2001-09-01,29191.72820974802
South,2001-10-01,29222.40485667029
South,2001-11-01,29253.067136001086
South,2001-12-01,29283.715093399565
South,2002-01-01,29314.348774331684
South,2002-02-01,29390.50590434669
South,2002-03-01,29466.659637589288
South,2002-04-01,29542.80998424501
South,2002-05-01,29618.95695445875
South,2002-06-01,29695.100558334892
South,2002-07-01,29771.240805937556
South,2002-08-01,29847.377707290787
South,2002-09-01,29923.51127237873
South,2002-10-01,29999.64151114589
South,2002-11-01,30075.76843349725
South,2002-12-01,30151.892049298523
South,2003-01-01,30228.012368376334
South,2003-02-01,30351.087145611426
South,2003-03-01,30474.166131700735
South,2003-04-01,30597.249311449632
South,2003-05-01,30720.336669736535
South,2003-06-01,30843.42819151251
South,2003-07-01,30966.523861800768
South,2003-08-01,31089.623665696294
South,2003-09-01,31212.72758836536
South,2003-10-01,31335.835615045162
South,2003-11-01,31458.947731043332
South,2003-12-01,31582.063921737565
South,2004-01-01,31705.1841725752
South,2004-02-01,31848.004450920194
South,2004-03-01,31990.832818143033
South,2004-04-01,32133.669243706092
South,2004-05-01,32276.513697225248
South,2004-06-01,32419.36614846897
South,2004-07-01,32562.226567357302
South,2004-08-01,32705.09492396097
South,2004-09-01,32847.97118850039
South,2004-10-01,32990.85533134478
South,2004-11-01,33133.74732301117
South,2004-12-01,33276.64713416356
South,2005-01-01,33419.55473561193
South,2005-02-01,33588.38251379536
South,2005-03-01,33757.142692088884
South,2005-04-01,33925.83552146465
South,2005-05-01,34094.46125165402
South,2005-06-01,34263.02013115519
South,2005-07-01,34431.51240724078
South,2005-08-01,34599.938325965435
South,2005-09-01,34768.29813217327
South,2005-10-01,34936.59206950531
South,2005-11-01,35104.82038040689
South,2005-12-01,35272.983306134964
South,2006-01-01,35441.0810867654
South,2006-02-01,35557.43801300833
South,2006-03-01,35673.79768129201
South,2006-04-01,35790.16008149452
South,2006-05-01,35906.52520354373
South,2006-06-01,36022.89303741693
South,2006-07-01,36139.26357314057
South,2006-08-01,36255.63680078996
South,2006-09-01,36372.01271048895
South,2006-10-01,36488.391292409615
South,2006-11-01,36604.772536772034
South,2006-12-01,36721.15643384394
South,2007-01-01,36837.54297394041
South,2007-02-01,36958.6219101284
South,2007-03-01,37079.738019670905
South,2007-04-01,37200.89117721027
South,2007-05-01,37322.081257951846
South,2007-06-01,37443.30813766084
South,2007-07-01,37564.5716926592
South,2007-08-01,37685.87179982247
South,2007-09-01,37807.208336576674
South,2007-10-01,37928.581180895344
South,2007-11-01,38049.990211296354
South,2007-12-01,38171.435306838925
South,2008-01-01,38292.91634712066
South,2008-02-01,38154.60394061568
South,2008-03-01,38016.2559816012
South,2008-04-01,37877.87257740025
South,2008-05-01,37739.45383490432
South,2008-06-01,37600.99986057552
South,2008-07-01,37462.510760448735
South,2008-08-01,37323.98664013379
South,2008-09-01,37185.42760481758
South,2008-10-01,37046.83375926612
South,2008-11-01,36908.20520782673
South,2008-12-01,36769.54205443009
South,2009-01-01,36630.8444025923
South,2009-02-01,36734.835013875454
South,2009-03-01,36838.833103930636
South,2009-04-01,36942.838651173945
South,2009-05-01,37046.851634104474
South,2009-06-01,37150.87203130389
South,2009-07-01,37254.899821436025
South,2009-08-01,37358.93498324652
South,2009-09-01,37462.9774955624
South,2009-10-01,37567.02733729171
South,2009-11-01,37671.08448742309
South,2009-12-01,37775.14892502542
South,2010-01-01,37879.220629247466
South,2010-02-01,38044.48080782631
South,2010-03-01,38209.76883123972
South,2010-04-01,38375.08463050917
South,2010-05-01,38540.42813688374
South,2010-06-01,38705.79928183925
South,2010-07-01,38871.1979970773
South,2010-08-01,39036.624214524316
South,2010-09-01,39202.07786633065
South,2010-10-01,39367.558884869664
South,2010-11-01,39533.067202736805
South,2010-12-01,39698.602752748695
South,2011-01-01,39864.16546794222
South,2011-02-01,39976.496789576864
South,2011-03-01,40088.838846341336
South,2011-04-01,40201.19160972313
South,2011-05-01,40313.555051310635
South,2011-06-01,40425.92914279265
South,2011-07-01,40538.313855958
South,2011-08-01,40650.70916269502
South,2011-09-01,40763.11503499121
South,2011-10-01,40875.53144493272
South,2011-11-01,40987.95836470394
South,2011-12-01,41100.39576658707
South,2012-01-01,41212.8436229617
South,2012-02-01,41213.62794003465
South,2012-03-01,41214.415190361615
South,2012-04-01,41215.2053669349
South,2012-05-01,41215.9984627691
South,2012-06-01,41216.79447090104
South,2012-07-01,41217.593384389686
South,2012-08-01,41218.39519631601
South,2012-09-01,41219.199899782965
South,2012-10-01,41220.007487915354
South,2012-11-01,41220.81795385977
South,2012-12-01,41221.6312907845
South,2013-01-01,41222.44749187941
South,2013-02-01,41376.459998932594
South,2013-03-01,41530.502522782735
South,2013-04-01,41684.57498353214
South,2013-05-01,41838.67730156646
South,2013-06-01,41992.80939755338
